episode,my_deck,opp_archetype,result_me,winner
81283381,Hops-Clefairy,"other:[878, 879]",1,me
81283961,Hops-Clefairy,Dragapult,1,me
81283965,,,,opp
81285180,Hops-Clefairy,Hops,1,me
81287102,Hops,Crustle,1,me
81287105,,,,opp
81287122,,,,opp
81288476,Hops-Clefairy,MegaLucario,-1,opp
81293764,,,,opp
81294340,,,,opp
81294498,Hops,MegaLucario,-1,opp
81294579,Hops-Clefairy,MegaLucario,1,me
81294616,,,,opp
81294622,Hops-Clefairy,MegaStarmie,-1,opp
81295114,,,,opp
81295300,Hops,Crustle,1,me
81295880,,,,opp
81296644,,,,opp
81297442,,,,opp
81297987,,,,opp
81298583,,,,opp
81299354,,,,opp
81300731,,,,opp
81301501,,,,opp
81302270,,,,opp
81302855,,,,opp
81303447,,,,opp
81304214,,,,opp
81304983,,,,opp
81305167,,,,opp
81305183,Hops-Clefairy,Crustle,1,me
81305591,,,,opp
81306167,,,,opp
81306313,Hops,Hops,-1,opp
81306944,,,,opp
81307546,,,,opp
81307643,Hops,Crustle,1,me
81308316,,,,opp
81309088,,,,opp
81309865,,,,opp
81310459,,,,opp
81311220,,,,opp
81311790,,,,opp
81312538,Hops-Clefairy,Hops,1,me
81312575,,,,opp
81313348,,,,opp
81314146,,,,opp
81314238,,,,opp
81314254,Hops-Clefairy,"other:[1227, 1233, 265]",1,me
81314720,,,,opp
81315421,,,,opp
81315483,,,,opp
81316250,,,,opp
81316863,Hops-Clefairy,"other:[722, 723, 1145]",1,me
81317016,,,,opp
81318544,,,,opp
81318561,,,,opp
81319141,,,,opp
81319856,Hops,MegaLucario,1,me
81319904,,,,opp
81320660,,,,opp
81321387,,,,opp
81321440,,,,opp
81322218,,,,opp
81322226,,,,opp
81322818,,,,opp
81323398,,,,opp
81323943,Hops-Clefairy,Hops,1,me
81324009,,,,opp
81324580,,,,opp
81325183,Hops,Dragapult,-1,opp
81325365,,,,opp
81326725,,,,opp
81327484,,,,opp
81328072,,,,opp
81328653,,,,opp
81330139,,,,opp
81330960,,,,opp
81331540,,,,opp
81333697,,,,opp
81336011,Hops,Alakazam,1,me
81336043,,,,opp
81336238,Hops-Clefairy,MegaLucario,1,me
81336815,,,,opp
81339818,,,,opp
81339861,Hops-Clefairy,Alakazam,-1,opp
81342938,Hops,Hops,1,me
81343740,Hops,Crustle,1,me
81344300,Hops-Clefairy,Hops,1,me
81345056,Hops,MegaStarmie,-1,opp
81345284,,,,opp
81351113,Hops,Hops,1,me
81351173,,,,opp
81354167,Hops-Clefairy,MegaLucario,-1,opp
81364540,,,,opp
81367075,Hops,Alakazam,-1,opp
81367296,,,,opp
81369956,Hops,Alakazam,1,me
81375842,Hops,MegaLucario,1,me
81379575,Hops,MegaLucario,1,me
81381877,Hops,MegaLucario,1,me
81382720,Hops-Clefairy,MegaLucario,1,me
81400969,Hops,MegaLucario,1,me
81413721,,,,opp
81414494,,,,opp
81222388,keidroid,yomogi mochi,-1,,,keidroid,
81222398,tomatomato,keidroid,-1,,,tomatomato,
81223152,keidroid,shibushun,-1,,,shibushun,
81223906,keidroid,yomogi mochi,-1,,,yomogi mochi,
81223923,keidroid,yamy893,-1,,,yamy893,
81224501,yamy893,keidroid,-1,,,keidroid,
81224512,yamy893,keidroid,-1,,,keidroid,
81225287,keidroid,The Debauchery Tea Party,-1,,,keidroid,
81263252,TG_Aetheryx,keidroid,-1,,,keidroid,
81263375,keidroid,NecromanAlbert,-1,,,keidroid,
81273003,keidroid,Naoto Sakai,-1,,,keidroid,
81287852,shibushun,keidroid,-1,,,keidroid,
81302465,keidroid,shibushun,-1,,,keidroid,
81313359,keidroid,カドラバ Kadoraba,-1,,,keidroid,
81324516,keidroid,kashiwashira,-1,,,keidroid,
81336818,keidroid,tomatomato,-1,,,keidroid,
81412357,keidroid,カドラバ Kadoraba,-1,,,keidroid,
81444276,H.Ito,Ats Kubo,0,Dragapult,MegaLucario,Ats Kubo,-1
81444609,nmdcddwzml,H.Ito,1,Dragapult,Dragapult,H.Ito,1
81444922,H.Ito,BlueSteel,0,Dragapult,"other:[722, 723, 1145]",BlueSteel,-1
81475913,keidroid,uuji-qvp,-1,,,keidroid,
81505237,William_Rod,H.Ito,1,Dragapult,MegaStarmie,H.Ito,1
81526565,H.Ito,Hiyato,0,MegaStarmie,Alakazam,H.Ito,1
81526798,nisimu197,H.Ito,1,MegaStarmie,Dragapult,H.Ito,1
81527064,NecromanAlbert,H.Ito,1,MegaStarmie,Dragapult,NecromanAlbert,-1
81569367,Naziba Tasnim,H.Ito,1,Hops-Clefairy,MegaLucario,H.Ito,1
81569807,Kaleidoooooo,H.Ito,1,Hops-Clefairy,Dragapult,H.Ito,1
81570264,Kazeneko,H.Ito,1,Hops-Clefairy,MegaLucario,Kazeneko,-1
81570729,TK0227,H.Ito,1,Hops-Clefairy,MegaLucario,H.Ito,1
81571184,H.Ito,Shun,0,Hops-Clefairy,MegaStarmie,Shun,-1
